artist_name,Frequência
Street Sects,1
Faye Webster,1
Lisa Germano,1
The Dead Weather,1
Stills & Nash,1
Duke Ellington,1
Mount Kimbie,1
Marina & the Diamonds,1
Black Moon,1
Flying Saucer Attack,1
DJ Sprinkles,1
Disco Inferno,1
Two Door Cinema Club,1
The Haxan Cloak,1
The Ronettes,1
Three Days Grace,1
Chapterhouse,1
宇多田ヒカル [Hikaru Utada],1
DJ Koze,1
The Armed,1
Roy Harper,1
Buddy Holly,1
Naked City,1
Nuno Canavarro,1
Ultramagnetic MC's,1
Saint Vitus,1
Sunn O))) & Boris,1
Tom Petty and The Heartbreakers,1
Madvillain,1
The Red Crayola with The Familiar Ugly,1
Morcheeba,1
Zeal and Ardor,1
Gospel,1
Fates Warning,1
The Game,1
Orville Peck,1
Thelonious Monk Septet,1
Crying,1
The Unicorns,1
Depressive Silence,1
RXK Nephew,1
Billy Cobham,1
Iron and Wine,1
The Carters,1
Pentagram,1
Elis Regina & Antônio Carlos Jobim,1
Sky Ferreira,1
Renaissance,1
Return to Forever,1
The Go! Team,1
Alexander Spence,1
Atlas Sound,1
The Kniφe,1
ANOHNI,1
Young Thug & Young Stoner Life RecordsYoung ThugYoung Stoner Life,1
The Hold Steady,1
Solid Space,1
福居良 [Ryo Fukui],1
Novos Baianos,1
Stella Donnelly,1
Cult of Luna and Julie ChristmasCult of LunaJulie Christmas,1
The Promise Ring,1
BABYMETAL,1
Fire! Orchestra,1
Goldie,1
Silversun Pickups,1
The Dave Brubeck Quartet,1
Quelle Chris,1
Ocean Machine,1
Curren$y,1
Rodriguez,1
Eagles,1
The Pretty Things,1
Alanis Morissette,1
Gravediggaz,1
The Zombies,1
Area,1
Brian Wilson,1
Teen Suicide,1
God Is an Astronaut,1
Thursday,1
Gonjasufi,1
Christian Death,1
Portal,1
Mudvayne,1
Andrew Hill,1
Courtney Barnett & Kurt Vile,1
Sarcófago,1
Cut Copy,1
Insomnium,1
Ad Nauseam,1
Derek and The Dominos,1
Kylesa,1
Underscores,1
Etta James,1
Thinking Fellers Union Local 282,1
Owen Pallett,1
Power Trip,1
Nils Frahm,1
Pop Smoke,1
Anthony Braxton,1
Dreamville,1
Bo Burnham,1
Ben Folds Five,1
The Go-Betweens,1
Discharge,1
Colin Stetson,1
Bruce Dickinson,1
АЛ-90,1
Nelly Furtado,1
The Charlie Mingus Jazz Workshop,1
Serge Gainsbourg,1
Prefab Sprout,1
